Country,YearBuilt,Type,Length_m,BrandPrestige,Price_USD
Turkey,2024,Motor,28.12,1,1022634.4
Italy,2024,Sailing,8.55,1,63382.43
Spain,2021,Motor,30.84,2,1586865.06
France,2022,Motor,26.3,5,2073076.18
Other,2020,Motor,27.44,3,1184317.79
Spain,2022,Motor,146.07,5,125298350.19
Other,2018,Motor,10.55,2,81230.4
Netherlands,2022,Motor,44.74,4,5719153.12
Italy,2024,Motor,22.22,2,802073.99
Netherlands,2021,Motor,34.17,1,1817514.35
Greece,2022,Motor,33.55,1,1289980.57
Other,2020,Motor,26.54,2,941435.54
Other,2024,Motor,97.13,5,59572742.71
Netherlands,2019,Motor,45.82,1,3116722.33
Turkey,2020,Motor,29.7,3,1182582.12
Other,2020,Motor,25.74,3,1053369.21
Italy,2020,Sailing,8.03,3,61022.24
Greece,2021,Motor,26.81,4,1419042.66
USA,2018,Motor,35.24,2,1744511.79
Turkey,2024,Motor,43.49,5,7058940.89
UK,2024,Motor,26.86,5,2644370.55
Netherlands,2023,Sailing,14.36,1,195499.1
UK,2018,Motor,28.22,3,1369836.22
Germany,2020,Motor,45.48,4,5911249.62
Italy,2021,Motor,19.62,2,567326.52
France,2022,Motor,16.11,2,351162.41
UK,2019,Sailing,12.43,5,244340.24
Other,2020,Motor,55.93,4,7862965.37
Germany,2022,Motor,24.2,3,1070846.94
Germany,2021,Motor,46.01,5,8153994.81
France,2023,Motor,46.7,3,5533114.02
Italy,2022,Motor,25.61,1,928636.08
Turkey,2019,Motor,37.46,1,1509152.04
UK,2023,Catamaran,19.58,3,621775.34
Italy,2024,Sailing,28.47,2,1477350.7
Germany,2020,Catamaran,37.23,3,2234465.71
Netherlands,2023,Motor,6.64,1,32588.53
Italy,2022,Motor,12.07,2,186135.87
UK,2018,Motor,42.13,4,4062898.47
Other,2022,Motor,35.91,5,3961359.17
Other,2024,Motor,7.41,1,38602.68
Netherlands,2024,Motor,27.36,4,1879513.24
Other,2023,Sailing,40.01,4,3497373.3
Other,2021,Sailing,33.13,1,1137184.33
France,2024,Motor,50.38,5,11871649.48
Other,2022,Motor,31.57,4,2037518.63
Other,2023,Motor,35.99,3,2570560.81
USA,2023,Motor,7.18,3,60950.13
Other,2023,Motor,19.81,2,550096.03
Other,2023,Motor,16.88,3,381915.6
Other,2019,Motor,12.56,1,114180.15
Other,2021,Motor,83.71,1,14280174.08
Italy,2024,Motor,69.38,5,34963934.32
France,2023,Motor,59.83,5,18100926.24
France,2022,Motor,12.49,2,163733.32
Other,2023,Motor,40.54,2,3053300.59
Other,2024,Motor,43.65,5,7953500.31
USA,2022,Motor,139.49,3,86192272.58
USA,2018,Sailing,49.9,3,4385121.7
Italy,2024,Motor,15.4,3,450499.87
Italy,2023,Motor,42.04,3,5374490.88
Italy,2018,Motor,26.39,1,807180.85
Netherlands,2022,Motor,30.45,3,1829118.81
Other,2024,Motor,59.04,3,10696384.6
France,2021,Motor,7.06,1,33366.7
Netherlands,2024,Motor,28.85,1,1218375.34
USA,2019,Motor,12.45,2,151162.27
Italy,2023,Motor,18.23,5,804286.92
USA,2024,Motor,8.93,2,106301.41
France,2023,Motor,46.86,3,5800529.4
Italy,2021,Motor,9.77,2,92097.44
Other,2022,Motor,26.74,3,1076901.1
Greece,2021,Motor,37.92,3,2356908.81
USA,2020,Motor,9.99,1,79455.62
Italy,2022,Motor,63.92,5,21697541.25
USA,2023,Sailing,30.6,4,2238224.72
Netherlands,2021,Motor,7.61,3,58715.15
France,2022,Motor,26.27,5,1825367.93
Other,2020,Motor,34.43,3,2050094.44
Other,2019,Motor,52.33,4,6193045.89
Other,2019,Motor,8.29,1,38276.0
Netherlands,2024,Motor,32.54,3,2753314.11
Greece,2022,Motor,69.02,5,18760678.9
UK,2021,Motor,36.0,5,4577381.27
USA,2020,Motor,36.4,4,3211222.12
Italy,2024,Motor,24.5,2,1241654.97
Greece,2023,Motor,31.91,2,1681009.43
France,2024,Motor,37.23,1,2658876.9
Other,2022,Motor,55.34,4,7781300.18
Other,2024,Motor,19.79,4,868300.72
Other,2024,Motor,26.1,2,981002.36
Other,2021,Motor,29.49,3,1228047.5
USA,2022,Motor,70.32,4,18974029.86
Other,2022,Motor,16.5,2,273180.72
USA,2019,Motor,26.31,4,1532286.95
Turkey,2022,Motor,18.06,5,525750.35
USA,2023,Motor,8.19,4,94815.09
USA,2023,Motor,17.2,1,356908.64
USA,2019,Motor,44.91,3,3996521.22
Other,2018,Motor,6.37,1,18725.02
Turkey,2024,Sailing,32.59,3,1862685.93
Spain,2021,Motor,94.11,5,38574165.88
Other,2023,Motor,9.76,3,90054.89
Other,2024,Motor,9.81,1,80663.11
Italy,2022,Motor,44.89,2,5281587.24
USA,2024,Motor,25.94,2,1446148.1
Italy,2022,Motor,32.11,4,2987513.03
Germany,2024,Motor,6.44,2,31453.19
Italy,2022,Motor,23.2,1,737277.7
Turkey,2020,Sailing,28.16,3,1086540.95
Italy,2024,Motor,56.48,4,13668007.49
UK,2023,Sailing,12.85,2,182572.87
Other,2018,Motor,69.88,5,16839755.63
Other,2022,Sailing,41.58,1,2078880.35
USA,2019,Motor,39.5,1,2295103.64
Netherlands,2023,Sailing,25.49,4,1119687.23
Other,2022,Sailing,30.52,4,1605280.47
Other,2024,Motor,39.75,2,2448155.12
Netherlands,2020,Motor,6.59,1,25578.93
Germany,2020,Sailing,33.35,5,2841378.74
France,2022,Motor,83.0,4,28663595.4
USA,2020,Motor,26.16,5,2307174.44
Other,2024,Motor,40.88,2,3132511.16
Spain,2022,Motor,18.28,2,429405.17
Other,2024,Sailing,36.53,1,1489421.73
Greece,2022,Motor,15.57,1,192023.21
France,2022,Motor,38.56,3,3594947.8
UK,2024,Sailing,40.92,4,4594876.76
Greece,2019,Sailing,15.61,2,174044.6
Other,2022,Motor,49.44,4,6836239.71
UK,2022,Motor,16.65,3,429505.12
Other,2019,Sailing,31.02,4,1479963.15
Spain,2021,Motor,18.2,5,736297.35
Italy,2021,Motor,33.38,2,2007378.82
Turkey,2021,Motor,26.62,1,789448.34
Other,2019,Motor,72.35,3,13027340.48
Other,2021,Sailing,8.98,1,38778.75
France,2024,Motor,135.11,5,159431791.69
UK,2019,Motor,77.88,3,16089581.94
France,2018,Motor,29.31,3,1545352.05
Italy,2021,Motor,38.9,5,5335626.8
Other,2019,Motor,36.79,1,1516073.77
France,2018,Motor,7.1,2,33677.11
Other,2020,Motor,14.91,4,265535.27
Other,2018,Motor,41.42,4,3575262.55
Other,2022,Sailing,35.79,4,2385468.4
Italy,2020,Motor,84.16,3,24369464.93
France,2022,Motor,19.95,5,1009473.3
USA,2023,Motor,9.61,3,122478.38
Turkey,2021,Motor,80.35,4,20675139.02
Greece,2022,Sailing,59.69,4,10009649.86
Italy,2023,Sailing,9.33,5,174031.52
Other,2022,Motor,68.02,3,11041788.08
Other,2020,Motor,23.93,5,1294968.59
USA,2018,Motor,41.58,3,3568026.81
USA,2019,Motor,34.24,4,2367829.74
Spain,2024,Motor,9.78,1,84395.19
Italy,2021,Sailing,25.83,1,775867.05
Other,2018,Catamaran,33.64,3,1811536.05
Italy,2020,Motor,15.43,5,532652.3
Germany,2021,Sailing,15.7,4,342456.02
UK,2024,Motor,19.03,4,844845.54
USA,2023,Motor,38.16,5,6446551.81
Spain,2023,Sailing,38.35,4,3258994.45
Other,2021,Sailing,13.62,1,111378.0
Germany,2021,Motor,11.23,2,107962.28
UK,2023,Motor,42.27,3,4556518.61
Turkey,2021,Motor,42.95,4,4099919.73
Other,2018,Motor,15.06,5,353487.64
Other,2021,Motor,30.7,2,1323694.13
Spain,2020,Motor,33.27,1,1387535.73
Spain,2023,Motor,44.26,3,4304656.6
Spain,2018,Motor,78.67,5,21782571.6
Turkey,2024,Sailing,40.61,2,2450481.35
Turkey,2023,Motor,36.73,2,2339238.63
Italy,2018,Motor,29.64,3,1571742.34
France,2024,Motor,33.56,4,3446149.3
Italy,2018,Sailing,10.53,2,93461.66
Italy,2022,Motor,35.8,5,5183713.21
Netherlands,2023,Catamaran,39.61,3,4341136.18
Spain,2024,Motor,35.72,1,2290744.53
Germany,2023,Sailing,11.59,1,102032.57
Other,2022,Sailing,22.67,4,804302.0
Germany,2018,Motor,26.75,5,1650227.06
Netherlands,2021,Motor,43.39,3,4364732.61
Other,2024,Sailing,26.62,3,1112523.01
Germany,2021,Catamaran,23.98,4,1088223.28
Greece,2019,Motor,32.35,1,1175611.4
Italy,2024,Motor,60.91,3,12347214.94
USA,2022,Motor,6.86,4,56974.64
Italy,2024,Motor,27.18,1,1206553.41
Germany,2018,Motor,124.99,3,46489576.21
Spain,2021,Motor,56.81,3,8439254.06
Greece,2018,Motor,30.2,4,1459290.72
Spain,2020,Motor,19.66,4,610829.05
Spain,2021,Sailing,12.84,1,116355.73
Greece,2022,Motor,40.7,5,5883822.03
USA,2024,Motor,72.3,4,21413981.3
UK,2022,Motor,39.75,3,3741706.56
Germany,2018,Motor,19.39,4,564530.14
Netherlands,2021,Motor,28.48,1,1159991.69
Italy,2018,Catamaran,38.74,3,2985049.55
Italy,2022,Motor,25.84,5,2098589.56
UK,2022,Motor,23.84,2,969475.96
USA,2021,Motor,48.29,2,4956317.07
UK,2020,Sailing,19.06,4,534803.07
Other,2023,Motor,35.9,5,4159221.96
Other,2020,Motor,36.27,3,2216690.99
Netherlands,2022,Motor,76.64,2,15932687.38
Greece,2024,Motor,26.12,3,1256232.42
UK,2019,Motor,25.1,4,1064053.23
Netherlands,2024,Catamaran,39.44,5,5697790.65
Turkey,2021,Motor,14.67,2,189567.52
